"t","Psi","X","Mu","sample"
3.56293323134087,89,7,299,"82"
3.58461741075107,89,8,299,"82"
3.5941586492774,89,7,300,"82"
3.60342809254458,89,8,300,"82"
3.61448094369071,89,7,301,"82"
3.62285732093396,89,8,301,"82"
3.62361941114343,89,9,301,"82"
3.62523811114994,89,8,302,"82"
3.62926545700649,89,9,302,"82"
3.63758511375293,89,10,302,"82"
3.64296220876818,89,9,303,"82"
3.71104443143345,90,8,303,"82"
3.73169889853501,90,9,303,"82"
3.73824444949697,91,8,303,"82"
3.75988381559201,91,7,304,"82"
3.79381312983915,91,8,304,"82"
3.81947154555137,91,9,304,"82"
3.82987118364329,91,8,305,"82"
3.83276017278151,91,7,306,"82"
3.83799943347867,91,8,306,"82"
3.84265007433357,91,9,306,"82"
3.84847234552801,91,10,306,"82"
3.85283725218967,91,9,307,"82"
3.87723813227441,92,8,307,"82"
3.89396963158032,92,9,307,"82"
3.89490247896904,92,8,308,"82"
3.94284697059982,92,7,309,"82"
3.94457839913,92,8,309,"82"
3.9738110528418,92,7,310,"82"
3.9870862912275,92,8,310,"82"
4.03247424356355,92,7,311,"82"
4.07570140266228,92,8,311,"82"
4.09423014020711,92,9,311,"82"
4.09580271759168,92,10,311,"82"
4.09838943760411,92,11,311,"82"
4.12117913259817,92,10,312,"82"
4.12425381285691,92,9,313,"82"
4.13131451744165,92,10,313,"82"
4.13131609528827,93,9,313,"82"
4.1403393975711,93,10,313,"82"
4.14432263259436,93,11,313,"82"
4.15029159170246,93,10,314,"82"
4.20259638306344,93,9,315,"82"
4.22426370230587,93,10,315,"82"
4.22864923371259,93,11,315,"82"
4.25076216254181,93,10,316,"82"
4.25660065555757,93,9,317,"82"
4.26398487991598,93,10,317,"82"
4.28166196682692,93,11,317,"82"
4.30934932780949,93,12,317,"82"
4.31444766516181,93,11,318,"82"
4.31846365567762,93,10,319,"82"
4.38517237507351,93,9,320,"82"
4.40330408317441,93,10,320,"82"
4.40759639815853,93,9,321,"82"
4.5036478728458,94,8,321,"82"
4.55752330199161,94,7,322,"82"
4.56287518404017,94,6,323,"82"
4.58353825556517,94,7,323,"82"
4.59932945033641,95,6,323,"82"
4.6108316603975,96,5,323,"82"
4.61752835582966,97,4,323,"82"
4.63185909787666,97,5,323,"82"
4.64711141692308,97,6,323,"82"
4.65309959042871,97,7,323,"82"
4.68117773613659,97,6,324,"82"
4.70172733000164,97,5,325,"82"
4.73540875146261,97,4,326,"82"
4.74289371458389,97,5,326,"82"
4.8125185239037,97,4,327,"82"
4.84346921392533,98,3,327,"82"
4.86856128063272,98,2,328,"82"
4.91898197109943,98,1,329,"82"
4.9666185308617,98,2,329,"82"
4.98395531287487,98,1,330,"82"
5.20236939711378,98,2,330,"82"
5.23467397159558,98,3,330,"82"
5.24677285284145,98,2,331,"82"
5.30793605087228,99,1,331,"82"
5.52416921411458,100,0,331,"82"
0,0,1,0,"83"
0.166618481652534,0,2,0,"83"
0.238944506024435,0,3,0,"83"
0.262211766482726,0,4,0,"83"
0.267978339345221,0,5,0,"83"
0.294742568518046,0,6,0,"83"
0.298550504028031,0,7,0,"83"
0.318861391080671,0,8,0,"83"
0.322417166185625,0,9,0,"83"
0.330374258197459,0,10,0,"83"
0.33047883646124,0,11,0,"83"
0.335941891517111,0,12,0,"83"
0.336680390305148,0,11,1,"83"
0.337339631032881,1,10,1,"83"
0.345284199518862,2,9,1,"83"
0.367805677302017,2,10,1,"83"
0.38679351287482,2,11,1,"83"
0.401016218536301,2,12,1,"83"
0.411784778216179,2,13,1,"83"
0.417342518570679,2,14,1,"83"
0.417739848640225,2,15,1,"83"
0.422014797416355,2,16,1,"83"
0.425708918068911,2,17,1,"83"
0.435373838742984,2,16,2,"83"
0.437874652963318,2,17,2,"83"
0.438497021758866,2,18,2,"83"
0.449591234928491,2,17,3,"83"
0.454607082296302,2,16,4,"83"
0.460040011616229,2,17,4,"83"
0.464316673314068,2,18,4,"83"
0.469117143786549,2,19,4,"83"
0.471196324035256,2,20,4,"83"
0.474669031428878,2,21,4,"83"
0.485018979400037,2,20,5,"83"
0.487744717565744,2,21,5,"83"
0.488908116516301,2,20,6,"83"
0.489235862987019,2,19,7,"83"
0.490901335404756,2,20,7,"83"
0.508177786415763,2,21,7,"83"
0.518487941892318,2,22,7,"83"
0.518592236746518,2,23,7,"83"
0.519502241398715,3,22,7,"83"
0.52103210069067,4,21,7,"83"
0.52357208584607,4,22,7,"83"
0.524097867704928,4,23,7,"83"
0.525533319010949,5,22,7,"83"
0.527035852771412,5,21,8,"83"
0.527952417905337,5,20,9,"83"
0.533194628822542,5,21,9,"83"
0.536313494341128,5,22,9,"83"
0.539134783548775,5,23,9,"83"
0.548368040656726,5,24,9,"83"
0.5562814218781,5,25,9,"83"
0.5572178153889,5,24,10,"83"
0.560575811654846,5,23,11,"83"
0.564931165040055,5,22,12,"83"
0.569927656199903,6,21,12,"83"
0.574244584412903,7,20,12,"83"
0.577243621242497,7,21,12,"83"
0.577362680058496,8,20,12,"83"
0.588986799896336,8,21,12,"83"
0.589114878513365,8,22,12,"83"
0.592455134520485,9,21,12,"83"
0.593182942472897,9,22,12,"83"
0.596932610093346,9,23,12,"83"
0.608739945100316,9,24,12,"83"
0.609080256591648,9,25,12,"83"
0.609412963503616,9,24,13,"83"
0.609579501218406,9,23,14,"83"
0.611055017979045,9,24,14,"83"
0.611302562938487,9,25,14,"83"
0.616621965478681,9,26,14,"83"
0.617842432430976,9,27,14,"83"
0.618931735129951,9,26,15,"83"
0.61963890916427,9,27,15,"83"
0.620371409775266,9,28,15,"83"
0.623890167694602,9,29,15,"83"
0.624269431508938,9,30,15,"83"
0.627224330842607,9,31,15,"83"
0.627452966142153,9,32,15,"83"
0.628593233353031,9,33,15,"83"
0.6317254154915,9,34,15,"83"
0.633399590966359,9,35,15,"83"
0.635233930818605,9,36,15,"83"
0.638252421807075,9,37,15,"83"
0.638624017581714,9,38,15,"83"
0.639744558005165,9,37,16,"83"
0.64397081518971,9,38,16,"83"
0.644480059099914,9,37,17,"83"
0.647273953096925,9,38,17,"83"
0.650006050530852,9,37,18,"83"
0.65105212843776,9,38,18,"83"
0.65115879219115,9,39,18,"83"
0.651786579261122,9,38,19,"83"
0.654395150293075,9,39,19,"83"
0.657094315987881,9,40,19,"83"
0.660318973780818,10,39,19,"83"
0.661110042838589,10,38,20,"83"
0.664894832490355,11,37,20,"83"
0.665915850085597,11,36,21,"83"
0.667465369451298,12,35,21,"83"
0.670719501716935,12,34,22,"83"
0.67085465734863,12,33,23,"83"
0.672511631501974,12,32,24,"83"
0.673686057542462,12,31,25,"83"
0.684904283796599,12,32,25,"83"
0.685123820912066,12,33,25,"83"
0.687246421122689,12,34,25,"83"
0.689938930725441,12,33,26,"83"
0.69202756705309,12,34,26,"83"
0.693160092409955,12,33,27,"83"
0.693791317372267,12,34,27,"83"
0.702669636056392,13,33,27,"83"
0.704573230249857,14,32,27,"83"
0.705311362779505,14,33,27,"83"
0.706655666075619,14,34,27,"83"
0.70740562051818,14,33,28,"83"
0.710555873566678,14,34,28,"83"
0.712272252637975,14,35,28,"83"
0.71480243768236,14,36,28,"83"
0.715788597430128,14,35,29,"83"
0.716429389816765,14,36,29,"83"
0.717381935125477,14,35,30,"83"
0.719498258379848,14,34,31,"83"
0.719914793622757,14,35,31,"83"
0.726121798140651,14,36,31,"83"
0.731442684626527,14,37,31,"83"
0.737381915080075,14,38,31,"83"
0.737853066149831,14,37,32,"83"
0.740766839101238,14,38,32,"83"
0.743427118401134,14,37,33,"83"
0.743546183917928,14,38,33,"83"
0.74488807773841,14,39,33,"83"
0.749155898393766,14,40,33,"83"
0.750012503182972,14,39,34,"83"
0.750865171215902,14,38,35,"83"
0.753560141066703,14,39,35,"83"
0.755201340911744,14,38,36,"83"
0.757943810053836,15,37,36,"83"
0.75929216057433,15,38,36,"83"
0.75937728029243,15,39,36,"83"
0.761354446225044,15,40,36,"83"
0.764395520021916,15,39,37,"83"
0.765212198541843,16,38,37,"83"
0.766000133385361,16,39,37,"83"
0.767176776906367,16,38,38,"83"
0.767704052859523,16,39,38,"83"
0.771382729951198,16,40,38,"83"
0.774679391772307,16,41,38,"83"
0.77482897020734,16,40,39,"83"
