"replicate","variable","value"
87,"HistorySizes",913.892037765536
88,"HistorySizes",1001
89,"HistorySizes",1001
90,"HistorySizes",824.677362301116
91,"HistorySizes",1001
92,"HistorySizes",886.074391237171
93,"HistorySizes",800.261134067896
94,"HistorySizes",1001
95,"HistorySizes",796.161608540696
96,"HistorySizes",754.612739366687
97,"HistorySizes",870.611208857759
98,"HistorySizes",1134.48518313811
99,"HistorySizes",1001
100,"HistorySizes",777.070791028767
1,"R0.1",543.538132991612
2,"R0.1",1001
3,"R0.1",739.464226254999
4,"R0.1",1001
5,"R0.1",888.109796632314
6,"R0.1",777.859163572489
7,"R0.1",835.258375798061
8,"R0.1",845.662032795797
9,"R0.1",838.902416249559
10,"R0.1",619.233783000935
11,"R0.1",685.321077074086
12,"R0.1",769.184479355659
13,"R0.1",728.375528700583
14,"R0.1",880.252312149142
15,"R0.1",807.325648751722
16,"R0.1",655.828462454276
17,"R0.1",629.078985996801
18,"R0.1",904.874442604447
19,"R0.1",785.32765044807
20,"R0.1",838.146261390615
21,"R0.1",884.890086589799
22,"R0.1",1001
23,"R0.1",645.419169015979
24,"R0.1",1012.32527274655
25,"R0.1",605.039975479488
26,"R0.1",779.214400066228
27,"R0.1",884.686322896867
28,"R0.1",798.447226425341
29,"R0.1",730.913127299258
30,"R0.1",820.952969017867
31,"R0.1",850.85666382513
32,"R0.1",730.605119352243
33,"R0.1",887.475751043644
34,"R0.1",722.494833861399
35,"R0.1",1001
36,"R0.1",751.177205385257
37,"R0.1",842.814510627172
38,"R0.1",724.007754199216
39,"R0.1",654.994631522988
40,"R0.1",472.790602284843
41,"R0.1",776.378999035272
42,"R0.1",757.32935797421
43,"R0.1",743.711298664551
44,"R0.1",658.039538020123
45,"R0.1",832.85796840416
46,"R0.1",755.476008291862
47,"R0.1",895.502622985721
48,"R0.1",912.998997544599
49,"R0.1",722.599855197415
50,"R0.1",557.054739110469
51,"R0.1",677.643600332713
52,"R0.1",773.178842040207
53,"R0.1",739.834550118704
54,"R0.1",761.746387336877
55,"R0.1",726.440830861503
56,"R0.1",798.911638940276
