"fns_1","fns_2","fns_3","fns_4","fns_5","variable","replicate"
28.2033667411877,30.9507864302782,31.3523873263087,32.7087074866061,33.4223833382039,"posterior",19
0.181550279269999,0.199328770980191,0.209595462594729,0.218087938958943,0.240072489832667,"TTBirthRate.1",19
0.0524225617410157,0.0770199117850104,0.0925994871133517,0.103561065975169,0.13219004650093,"TTBirthRate.2",19
0.00367533927856596,0.00503035811957538,0.00641490015378364,0.00715553387228331,0.00996777544315411,"TTSamplingRate",19
0.0349708399383757,0.0444553586148591,0.05045850243488,0.0574623122411615,0.071718691398872,"TTOmegaRate",19
102,152,189,211,283,"HistorySizes",19
1.5735622687929,1.85563053444295,2.03730218449117,2.18227106740881,2.56572841701689,"R0.1",19
0.567744588810887,0.778756586576943,0.891755267022142,0.983807893816036,1.21125998098763,"R0.2",19
-95.8104419848567,-92.8830729225102,-92.5112281865332,-91.1488239254522,-90.3839365730404,"posterior",20
0.156286457967521,0.183146157801727,0.204379828505624,0.214559448029512,0.254644939101905,"TTBirthRate.1",20
0.0284546321099441,0.0599018304179366,0.0843453504883549,0.10110966092894,0.142754527432989,"TTBirthRate.2",20
0.00323826867076843,0.00578281725546737,0.00831521557880863,0.00951788826793169,0.0145819184199837,"TTSamplingRate",20
0.0271826995027554,0.0458410746963758,0.0542078087390541,0.0643558049552282,0.0824628621830537,"TTOmegaRate",20
19,34,52,59,105,"HistorySizes",20
1.24359959208576,1.60254207988692,1.87262305264998,2.06932099778434,2.6143122860805,"R0.1",20
0.317931288540032,0.578390100200807,0.778967559189165,0.906182807104498,1.25905576727984,"R0.2",20
-146.927546267652,-144.027031125174,-143.668721413452,-142.222567421559,-141.563007606776,"posterior",21
0.163587219142664,0.17992568828753,0.192343622010792,0.200290637011416,0.222047324123333,"TTBirthRate.1",21
0.0523292400765047,0.0795142661918594,0.0941954951575711,0.108157252087161,0.138292479719417,"TTBirthRate.2",21
0.00558596329481895,0.00733415840462227,0.00910891448570156,0.0101058944613619,0.0138512361518375,"TTSamplingRate",21
0.032307624554362,0.0400319701078169,0.0470076217843875,0.0508985098088199,0.0659345004160986,"TTOmegaRate",21
70,98,139,148,220,"HistorySizes",21
1.45062355589152,1.71850190058193,1.87662077624237,2.01885471664565,2.3486628313061,"R0.1",21
0.532565789386987,0.773105663610374,0.919256153282315,1.02499434716083,1.26355729024728,"R0.2",21
-4.07964757841328,-1.22090070350388,-0.799424323460064,0.480872959975535,1.32636178280982,"posterior",22
0.161732478770072,0.174128938673357,0.18118455618153,0.188865593185977,0.202860417996934,"TTBirthRate.1",22
0.0777689068202056,0.0972060645485374,0.107125952143102,0.118989506518163,0.140033545934363,"TTBirthRate.2",22
0.00606859773685359,0.00765597182968596,0.00878645469554119,0.00972267132073078,0.0120106388658358,"TTSamplingRate",22
0.038886522888971,0.0467963953217462,0.0518856631588878,0.0559853051757037,0.0651747339669258,"TTOmegaRate",22
169,209,259,275,366,"HistorySizes",22
1.43527073389571,1.58430804291458,1.70749355813949,1.78707212976103,2.01494084039424,"R0.1",22
0.748519028797849,0.898528165660999,1.00955886777186,1.07820149787535,1.27042400757276,"R0.2",22
-69.6256497920587,-66.4760044558951,-66.0364005620672,-64.6915846022234,-64.011740682214,"posterior",23
0.12020047946297,0.16253636360856,0.196614417424532,0.214926102570567,0.275363808702484,"TTBirthRate.1",23
0.0241934088644117,0.0622823721560695,0.111896883426007,0.131699828115937,0.224846972243139,"TTBirthRate.2",23
0.00299505567222916,0.00591775485563646,0.0118745185411203,0.013031839885849,0.0246224094293261,"TTSamplingRate",23
0.0248958457398347,0.0512296963813968,0.0692960114902867,0.0820569483897825,0.118038728655176,"TTOmegaRate",23
0,5,14,15,38,"HistorySizes",23
